city,date,value
杭州,2021-07-01,5560
杭州,2021-07-02,5460
杭州,2021-07-05,5480
杭州,2021-07-06,5510
杭州,2021-07-07,5540
杭州,2021-07-08,5560
杭州,2021-07-09,5550
杭州,2021-07-12,5670
杭州,2021-07-13,5620
杭州,2021-07-14,5690
杭州,2021-07-15,5730
杭州,2021-07-16,5730
杭州,2021-07-19,5790
杭州,2021-07-20,5780
杭州,2021-07-21,5790
杭州,2021-07-22,5780
杭州,2021-07-23,5820
杭州,2021-07-26,5870
杭州,2021-07-27,5850
杭州,2021-07-28,5830
杭州,2021-07-29,5850
杭州,2021-07-30,5850
杭州,2021-08-02,5730
杭州,2021-08-03,5670
杭州,2021-08-04,5750
杭州,2021-08-05,5750
杭州,2021-08-06,5720
杭州,2021-08-09,5710
杭州,2021-08-10,5730
杭州,2021-08-11,5770
杭州,2021-08-12,5750
杭州,2021-08-13,5750
杭州,2021-08-16,5750
杭州,2021-08-17,5730
杭州,2021-08-18,5650
杭州,2021-08-19,5560
杭州,2021-08-20,5610
杭州,2021-08-23,5650
杭州,2021-08-24,5690
杭州,2021-08-25,5710
杭州,2021-08-26,5680
杭州,2021-08-27,5700
杭州,2021-08-30,5750
杭州,2021-08-31,5750
杭州,2021-09-01,5730
杭州,2021-09-02,5750
杭州,2021-09-03,5810
杭州,2021-09-06,5840
杭州,2021-09-07,5860
杭州,2021-09-08,5860
杭州,2021-09-09,5970
杭州,2021-09-10,5970
杭州,2021-09-13,6060
杭州,2021-09-14,6040
杭州,2021-09-15,6020
杭州,2021-09-16,6120
杭州,2021-09-17,6130
杭州,2021-09-18,6180
杭州,2021-09-22,6250
杭州,2021-09-23,6280
杭州,2021-09-24,6230
杭州,2021-09-26,6240
杭州,2021-09-27,6290
杭州,2021-09-28,6320
杭州,2021-09-29,6330
杭州,2021-09-30,6340
