时间,温度,气压,详情
00:00,24°C,1013.0mb, 少量 云 在 790米  
01:00,24°C,1013.0mb, 少量 云 在 760米  
02:00,24°C,1012.0mb, 少量 云 在 760米  
03:00,24°C,1011.0mb, 少量 云 在 790米  
04:00,23°C,1011.0mb, 少量 云 在 790米  
05:00,23°C,1011.0mb, 少量 云 在 790米  
06:00,23°C,1012.0mb, 少量 云 在 150米  
07:00,23°C,1012.0mb, 少量 云 在 790米  
08:00,24°C,1013.0mb, 少量 云 在 820米  
09:00,25°C,1013.0mb, 少量 云 在 820米  
10:00,27°C,1013.0mb, 少量 云 在 850米  
11:00,29°C,1012.0mb, 少量 积雨云 云 在 520米  
12:00,31°C,1012.0mb, 少量 积雨云 云 在 520米  
13:00,32°C,1011.0mb, 少量 云 在 580米  
14:00,33°C,1010.0mb, 少量 云 在 610米  
15:00,32°C,1009.0mb, 少量 云 在 610米  
16:00,33°C,1008.0mb, 少量 云 在 610米  
17:00,27°C,1009.0mb, 分散 云 在 610米 雨 阵雨 
18:00,28°C,1009.0mb, 分散 云 在 700米  
19:00,27°C,1009.0mb, 少量 云 在 760米  
